Sean Bean	Eddard "Ned" Stark
Mark Addy	Robert Baratheon
Nikolaj Coster-Waldau	Jaime Lannister
Michelle Fairley	Catelyn Stark
Lena Headey	Cersei Lannister
Emilia Clarke	Daenerys Targaryen
Iain Glen	Jorah Mormont
Harry Lloyd	Viserys Targaryen
Kit Harington	Jon Snow
Sophie Turner	Sansa Stark
Maisie Williams	Arya Stark
Richard Madden	Robb Stark
Alfie Allen	Theon Greyjoy
Isaac Hempstead Wright	Bran Stark
Jack Gleeson	Joffrey Baratheon
Rory McCann	Sandor "The Hound" Clegane
Peter Dinklage	Tyrion Lannister
Jason Momoa	Khal Drogo
Aidan Gillen	Petyr "Littlefinger" Baelish
Liam Cunningham	Davos Seaworth
John Bradley	Samwell Tarly
Stephen Dillane	Stannis Baratheon
Carice van Houten	Melisandre
James Cosmo	Jeor Mormont
Jerome Flynn	Bronn
Conleth Hill	Varys
Sibel Kekilli	Shae
Natalie Dormer	Margaery Tyrell
Charles Dance	Tywin Lannister
Oona Chaplin	Talisa Maegyr
Rose Leslie	Ygritte
Joe Dempsie	Gendry
Kristofer Hivju	Tormund Giantsbane
Gwendoline Christie	Brienne of Tarth
Iwan Rheon	Ramsay Bolton
Hannah Murray	Gilly
Michiel Huisman	Daario Naharis
Nathalie Emmanuel	Missandei
Indira Varma	Ellaria Sand
Dean-Charles Chapman	Tommen Baratheon
Tom Wlaschiha	Jaqen H'ghar
Michael McElhatton	Roose Bolton
Jonathan Pryce	The High Sparrow
	 Jeoffry Baratheon
	 Meera Reed
	 ? Reed
	 Heksa
Ciaran Hinds	Mance	
Ed Skrein	Daario Naharis
