source-id;question;answer;picture;alternatives;hints;difficulty
csv-planter-1;Hvilken plante er kommuneblomst i Aremark;jåblom;Parnassia_palustris.jpg;;;3
csv-planter-2;Hvilken plante er kommuneblomst i Askim;enghumleblom;Geum_rivale.jpg;;;3
csv-planter-3;Hvilken plante er kommuneblomst i Borge;saltsoleie;Ranunculus_cymbalaria.jpg;;;3
csv-planter-4;Hvilken plante er kommuneblomst i Eidsberg, Vennesla, Levanger og landskapsblomst i Småland;linnea;Linnaea_borealis.jpg;;;3
csv-planter-5;Hvilken plante er kommuneblomst i Fredrikstad;nattfiol;Platanthera_bifolia.jpg;;;3
csv-planter-6;Hvilken plante er kommuneblomst i Halden;klokkesøte;Gentiana_pneumonanthe.jpg;;;3
csv-planter-7;Hvilken plante er kommuneblomst i Hobøl;bekkeblom;Caltha_palustris.jpg;;;3
csv-planter-8;Hvilken plante er kommuneblomst i Hvaler;strandmalurt;Artemisia_maritima.jpg;;;3
csv-planter-9;Hvilken plante er kommuneblomst i Marker;rødkløver;Trifolium_pratense.jpg;;;3
csv-planter-10;Hvilken plante er kommuneblomst i Moss;blåveis;Hepatica_nobilis.jpg;;;3
csv-planter-11;Hvilken plante er kommuneblomst i Rakkestad;engtjæreblom;Viscaria_vulgaris.jpg;;;3
csv-planter-12;Hvilken plante er kommuneblomst i Rømskog;skogstjerne;Trientalis_europaea.jpg;;;3
csv-planter-13;Hvilken plante er kommuneblomst i Rygge;kubjelle;Pulsatilla_pratensis.jpg;;;3
csv-planter-14;Hvilken plante er kommuneblomst i Råde;marianøkleblom;Primula_veris.jpg;;;3
csv-planter-15;Hvilken plante er kommuneblomst i Sarpsborg;prestekrage;Leucanthemum_vulgare.jpg;;;3
csv-planter-16;Hvilken plante er kommuneblomst i Skiptvet;nyresildre;Saxifraga_granulata.jpg;;;3
csv-planter-17;Hvilken plante er kommuneblomst i Spydeberg;nikkebrønsle;Bidens_cernua.jpg;;;3
csv-planter-18;Hvilken plante er kommuneblomst i Trøgstad;rundsoldogg;Drosera_rotundifolia.jpg;;;3
csv-planter-19;Hvilken plante er kommuneblomst i Våler;kattehale;Lythrum_salicaria.jpg;;;3
csv-planter-20;Hvilken plante er kommuneblomst i Aurskog Høland;tyttebær;Vaccinium_vitis-idaea.jpg;;;3
csv-planter-21;Hvilken plante er kommuneblomst i Asker;ask;Fraxinus_excelsior.jpg;;;3
csv-planter-22;Hvilken plante er kommuneblomst i Bærum;gulveis;Anemone_ranunculoides.jpg;;;3
csv-planter-23;Hvilken plante er kommuneblomst i Lørenskog;kjempesoleie;Ranunculus_lingua.jpg;;;3
csv-planter-24;Hvilken plante er fylkesblomst i Oslo;bakkekløver;Trifolium_montanum.jpg;;;3
csv-planter-25;Hvilken plante er kommuneblomst i Ullensvang; rødsildre;Saxifraga_oppositifolia.jpg;;;3
csv-planter-26;Hvilken plante er kommuneblomst i Røyrvik;ballblom;Trollius_europaeus.jpg;;;3
csv-planter-27;Hvilken plante er kommuneblomst i Kvinnherad;bergfrue;Saxifraga_cotyledon.jpg;;;3
csv-planter-28;Hvilken plante er kommuneblomst i Gaular;blåklokke;Campanula_rotundifolia.jpg;;;3
csv-planter-29;Hvilken plante er kommuneblomst i Selbu;einer;Juniperus_communis.jpg;;;3
csv-planter-30;Hvilken plante er kommuneblomst i Sveio;fagerrogn;Sorbus_meinichii.jpg;;;3
csv-planter-31;Hvilken plante er kommuneblomst i Gulen;fjærekoll;Armeria_maritima.jpg;strandnellik;;3
csv-planter-32;Hvilken plante er kommuneblomst i Voss og Tydal;fjellkvann;Angelica_archangelica_ssp._archangelica.jpg;;;3
