# -*- eval: (auto-fill-mode -1) -*-

# no edges
Blank; 5 lrlr; (R U'2) (R2' F R F') U2 (R' F R F'); NA; Zamboni
# Zamboni, Triple Anti-Sune, Nazi, Sune, Nazi, Anti-Sune, Crown, Double Sune, X, Bruno, Diagonal, Sune, Anti-Nazi, Anti-Sune, Anti-Nazi, Headlights, Blank, Full
Zamboni; 5 llrr; F (R U R' U') F' f (R U R' U') f'; G; Zamboni
Nazi; 59 rrr; f (R U R' U') B' R b (R U R' U') F'; G; Anti-Nazi
Diagonal; 357 lr; R U R' U (R' F R F') U2 (R' F R F'); G; Crown
Crown; 579 rl; (r U R') (U R U'2 r2') (U' R U' R') U2 r; NA; Bunny
Bunny; 579 lr; (r' R U) (R U R' U') (r R2') (F R F'); NA; Diagonal
X; 13579 ;(r' R U) (R U R' U') r2 R2' (U R U' r'); G; X

# two edges -- no corners
Highway (18); 258 lrlr; R U'2 R2 U' R U' R' U'2 (F R F'); G; Breakneck
# Breakneck, Anti-Fung, Anti-Nazi, Kite, Squeegee, Anti-Sune, Awkward Fish, Streetlights, X, Frying Pan, Fung, Sune, Wide Sune, Gun, Nazi, P, Highway, Full
Streetlights (3); 456 lrlr; r U r' (U R U' R')2 r U' r'; G; Anti-Frying Pan
Bottlecap (3); 456 rrll; F (U R U' R')2 F'; G; Breakneck
Rice Cooker; 258 rrll; (R' U' R U' R') d (R' U R) B; G; Rice Cooker (y)
Breakneck (3); 458 llrr; F (R U R' U') (R U R' U') F'; F' (L' U' L U) (L' U' L U) F'; Bottlecap
Frying Pan (3); 568 rlrl; G; (r U r') (R U R' U')2 (r U' r'); Streetlights
Right back squeezy; 245 rrll; (l U') (l2' U l2 U l2') (U' l); G; Anti-Right back squeezy

# two edges -- one corner
Gun; 1456 lll; F (U R U' R'2) F' (R U R) U' R'; G; Kite
Squeegee; 4567 lll; l' U' l (L' U' L U) l' U l; G; Reverse Wide Anti-Sune
Wide Sune; 4578 lll; G; (r U2 R' U') (R U' r'); Reverse Wide Sune
Reverse Wide Sune; 3568 rrr; G; (r U R') (U R U2 r'); Wide Sune
Downstairs; 2457 lll; F' (L' U' L U) F y F (R U R' U') F'; G; Anti-Gun
Kite; 3458 rrr; (R U R' U') R' F R2 U R' U' F'; G; Gun

# two edges -- two corners
Tying Shoelaces; 34569 rl; (R U R' U') (R' F R F'); (L' U' L U) (L F' L' F); Untying Shoelaces
T; 34569 rl; F (R U R' U') F'; F' (L' U' L U) F; P
City (3); 13456 lr; (R U R' U') B' (R' F R F') B; G; Untying Shoelaces
Seeing Headlights (6); 12578 rl; R' U' (R' F R F') U R; G; Anti-P
Fung; 14569 rl y2; L F' (L' U' L U) F U' L'; G; Anti-Couch
P; 14578 rl; F (U R U' R') F'; F' (U' L' U L) F; T
Couch; 35689 rl; R' U' F U R U' R' F' R; L U F' U' L' U L F L'; Anti-Fung
Untying Shoelaces; 34578 rl; (F R' F' R) (U R U' R'); (F' L F L') (U' L' U L); Tying Shoelaces
Fish Salad (6); 23567 rl; R U'2 R2' (F R F') R U'2 R'; G; Untying Shoelaces
Spotted Chameleon (12); 24579 lr; M U (R U R' U') (R' F R F') M'; M U' (L' U' L U) (L F' L' F) M'; (y) Fung
# Fung, Anti-Kite, Couch, Sune, Tying Shoelaces, Stealth, Wario, Anti-Sune, City, Kite, Spotted Chameleon, Full
Awkward Fish (12); 25679 rl; R U' R' U2 R U y R U' R' y' U' R'; G; Anti-Couch
# Anti-Couch, Crown, Stealth, Chameleon, P, X, Spotted Chameleon, Headlights, Stealth, Bunny, Awkward Fish, Full
Mario (5); 23457 lr; y(R U R' U) (R U' R' U') (R' F R F'); G; Couch
# Couch, T, Wide Anti-Sune, Mario, Full

# two edges - four corners
H; 1345679; (R U R' U') (r R') (U R U' r'); G; Stealth
Stealth; 1345789 ; (r U R' U') (R r') (U R U' R'); G; H

# four edges
Sune; 245678 lll; G; (R U2 R' U') (R U' R'); Sune
Double Sune; 24568 lrlr; (R U2 R' U') (R U R' U') (R U' R'); NA; Anti-Sune
Triple Sune; 1245689 rl; G; (R U2 R' U') (R U R' U')2 (R U' R'); Double Anti-Sune
Bruno; 24568 llrr; (R U'2) (R2 U' R'2 U' R2') (U'2 R); G; Bruno
Headlights; 1234568 rl; R2' D' R U2 R' D R U2 R; NA; Triple Anti-Sune
Chameleon; 2345689 rl; (r U R' U') (r' F R F'); G; Triple Anti-Sune

# Sune
# R U R' U R U2 R' = y (L' U2 L U) (L' U L)
# 
# Wide Sune
# r U R' U R U2 r' =? y (l' U2 L U) (L' U l)
# 
# Wide Anti-Sune
# r U R' U R U2 r' =? y (r U2 R' U') (R U' r')
#
# Right Front Wide Anti-Sune, same as Wide Anti-Sune???
# The =? are probably not equality
# (r U2 R' U') R U' r'
