;ma;eh;sg;gm;gw;sn;sl;lr;gq;ga;ao1;zu;mz;rh;jo;il;tn;eg;mr;se;gn;al;ci;gh;tg;dz;ml;bf;bj;ly;ne;ng;td;cm;cg;cf;ug;bu;rw;bi;cd;ao2;mw;tz;na;zw;bw;zm;sz;mq;ls;za;er;sd;ke;so;et;dj
ma;0;1;3;4;4;3;4;4;5;5;5;7;6;4;4;4;2;3;2;3;3;4;3;4;4;1;2;3;3;2;2;3;3;4;5;4;4;6;5;5;4;5;6;5;6;6;6;5;7;6;8;7;4;3;4;5;4;5
eh;1;0;2;3;3;2;4;4;5;5;5;7;6;4;4;4;2;3;1;3;3;4;3;4;4;1;2;3;3;2;2;3;3;4;5;4;4;6;5;5;4;5;6;5;6;6;6;5;7;6;8;7;4;3;4;5;4;5
sg;3;2;0;3;3;2;4;4;6;6;6;8;7;5;5;5;3;4;1;3;3;4;3;4;4;2;2;3;4;3;3;4;4;5;6;5;5;7;6;6;5;6;7;6;7;7;7;6;8;7;9;8;5;4;5;6;5;6
gm;4;3;3;0;2;1;3;3;6;6;7;9;8;6;6;6;4;5;2;3;2;4;3;4;4;3;2;3;4;4;3;4;4;5;6;5;6;8;7;7;6;7;8;7;8;8;8;7;9;8;10;9;6;5;6;7;6;7
gw;4;3;3;2;0;1;2;2;6;6;7;9;8;6;6;6;4;5;2;3;1;4;2;3;4;3;2;3;4;4;3;4;4;5;6;5;6;8;7;7;6;7;8;7;8;8;8;7;9;8;10;9;6;5;6;7;6;7
sn;3;2;2;1;1;0;2;2;5;5;6;8;7;5;5;5;3;4;1;2;1;3;2;3;3;2;1;2;3;3;2;3;3;4;5;4;5;7;6;6;5;6;7;6;7;7;7;6;8;7;9;8;5;4;5;6;5;6
sl;4;4;4;3;2;2;0;1;6;6;7;9;8;6;6;6;4;5;3;3;1;4;2;3;4;3;2;3;4;4;3;4;4;5;6;5;6;8;7;7;6;7;8;7;8;8;8;7;9;8;10;9;6;5;6;7;6;7
lr;4;4;4;3;2;2;1;0;6;6;7;9;8;6;6;6;4;5;3;3;1;3;1;2;3;3;2;2;3;4;3;4;4;5;6;5;6;8;7;7;6;7;8;7;8;8;8;7;9;8;10;9;6;5;6;7;6;7
gq;5;5;6;6;6;5;6;6;0;1;3;6;5;4;5;5;4;4;5;5;5;5;5;5;4;4;4;4;3;3;3;2;2;1;2;2;4;5;4;4;3;4;5;4;5;5;5;4;6;5;7;6;4;3;4;5;4;5
ga;5;5;6;6;6;5;6;6;1;0;2;5;4;4;5;5;4;4;5;5;5;5;5;5;4;4;4;4;3;3;3;2;2;1;1;2;3;4;3;3;2;3;4;3;4;4;4;3;5;4;6;5;4;3;4;5;4;5
